bin_lo,bin_hi,count,mean_conf,mean_acc,gap
0.0,0.1,464215,0.011224698320919536,0.01072563359650162,0.000499064724417915
0.1,0.2,11426,0.14064661903072423,0.13373008927008576,0.0069165297606384735
0.2,0.30000000000000004,4816,0.24651179720099978,0.2819767441860465,0.035464946985046736
0.30000000000000004,0.4,3677,0.34888622428140853,0.4335055751971716,0.08461935091576306
0.4,0.5,3772,0.451897668449775,0.5935843054082715,0.14168663695849643
0.5,0.6000000000000001,5011,0.553518621311576,0.7445619636799042,0.1910433423683282
0.6000000000000001,0.7000000000000001,8302,0.6546746408528691,0.8263069139966274,0.17163227314375828
0.7000000000000001,0.8,14695,0.7535422907673854,0.9006464783940116,0.14710418762662614
0.8,0.9,20036,0.8512797447218584,0.9530345378319026,0.1017547931100442
0.9,1.0,13839,0.9292954248546116,0.99508635016981,0.06579092531519837
