image,gt,TP,FP,FN,precision,recall,F1,F2,inference_ms
gss1215_jpg.rf.5b9847ede29f6a74016111d51e1b4f08.jpg,0,0,1,0,0.0,0.0,0.0,0.0,15.414
gss1215_jpg.rf.d18cc58b4572d6a198ba9d16f1dc7695.jpg,2,2,0,0,1.0,1.0,1.0,1.0,16.482
gss1222_jpg.rf.7ac143cda10180d1512e258d47adde50.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.483
gss1222_jpg.rf.c0725eac53d10d5ec74c49a99b11c757.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.22
gss1226_jpg.rf.442d8552e25f4c071cecc90698c42a46.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.655
gss1226_jpg.rf.8ea8e38d91a5d60c3e3eab8eff7a3dab.jpg,1,1,1,0,0.5,1.0,0.666667,0.833333,16.383
gss1226_jpg.rf.e81b4c9c55eb31fde496f3bb12b0df6e.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.73
gss1228_jpg.rf.1cd9089441f1be7581662185c3a51420.jpg,1,1,1,0,0.5,1.0,0.666667,0.833333,16.108
gss1228_jpg.rf.6985f79ee6381c551235b904fa12d78b.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.51
gss1234_jpg.rf.bb6dfb398292913458a3810d5ee576f0.jpg,1,1,1,0,0.5,1.0,0.666667,0.833333,15.483
gss123_jpg.rf.097eabdbd220e1b409b012cdf39b28c0.jpg,3,3,0,0,1.0,1.0,1.0,1.0,16.418
gss123_jpg.rf.36e48f070bba31ffd053052b6d11ccd8.jpg,2,2,0,0,1.0,1.0,1.0,1.0,15.952
gss123_jpg.rf.ce31408eacb57b7b820ea5777983b078.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.336
gss1269_jpg.rf.0d54a5622dee48260bde18e0d9adf1a1.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.488
gss1269_jpg.rf.e2425a7e6dbee24883d3c402ed035878.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.817
gss1269_jpg.rf.f79565f56eca22007f10b083e844b3c1.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.487
gss1310_jpg.rf.170e24d6a67669665561d87d90ca5f88.jpg,1,0,0,1,0.0,0.0,0.0,0.0,15.221
gss1310_jpg.rf.50a2d1131312eb0713ffc5b6a5094604.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.328
gss1310_jpg.rf.94ee709119b4d9e5e2247a4ba3b01db6.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.429
gss1310_jpg.rf.a0e61bec847893db0fab031498285e18.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.293
gss1310_jpg.rf.e0f1f3643221f3b24f4c118ec45dc651.jpg,0,0,1,0,0.0,0.0,0.0,0.0,16.385
gss1310_jpg.rf.efdeeb292e3f9bc441833491f59e1309.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.369
gss1321_jpg.rf.53efe4df0d89368de63387ae28eff69c.jpg,1,1,1,0,0.5,1.0,0.666667,0.833333,16.645
gss1321_jpg.rf.598be66037907b72b40331e31a9add87.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.149
gss1321_jpg.rf.89a83058cf41ce9c957ce8512fc82d6b.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.413
gss1331_jpg.rf.102c140ab5dbbd381829a60b378a00ab.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.579
gss1331_jpg.rf.5d47fb0dcc914ccc36e521976afefdca.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.428
gss1333_jpg.rf.db7164bd3484711298a44398c0b08290.jpg,1,1,1,0,0.5,1.0,0.666667,0.833333,16.503
gss1333_jpg.rf.faa3811fada9163b8ccf93902d3f6056.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.63
gss1333_jpg.rf.fc05238c087285b90f4056f409cb41b0.jpg,1,1,0,0,1.0,1.0,1.0,1.0,17.298
gss1352_jpg.rf.0a0958a74f3cfe06d9edeb99ea4b1243.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.694
