bin_lo,bin_hi,count,mean_conf,mean_acc,gap
0.0,0.1,11493,0.006731945435504138,0.004350474201687984,0.0023814712338161544
0.1,0.2,164,0.14518582693687299,0.07317073170731707,0.07201509522955592
0.2,0.30000000000000004,57,0.24469081090207687,0.24561403508771928,0.0009232241856424184
0.30000000000000004,0.4,43,0.348759802968003,0.3488372093023256,7.740633432257171e-05
0.4,0.5,45,0.4539904243416256,0.6,0.14600957565837436
0.5,0.6000000000000001,67,0.5526604687989648,0.6567164179104478,0.10405594911148297
0.6000000000000001,0.7000000000000001,100,0.6575712007284165,0.87,0.21242879927158353
0.7000000000000001,0.8,245,0.7568604890181094,0.9673469387755103,0.21048644975740083
0.8,0.9,218,0.8357900083065033,0.9908256880733946,0.15503567976689125
0.9,1.0,6,0.9100640515486399,0.6666666666666666,0.24339738488197327
