conf,F1,F2,precision,recall
0.0,0.10721336370539103,0.2297279708447221,0.05676153722463419,0.9644808743169399
0.01,0.406019474771319,0.6159355416293644,0.258938652615732,0.9398907103825137
0.02,0.5300546448087432,0.7135350987810004,0.37103825136612023,0.9275956284153005
0.03,0.6040268456375839,0.7616790792146242,0.4491017964071856,0.9221311475409836
0.04,0.6585127201565557,0.793632075471698,0.5129573170731707,0.9193989071038251
0.05,0.6883384932920537,0.8067247218190613,0.5530679933665008,0.9112021857923497
0.06,0.716594827586207,0.8205824284304046,0.5916370106761566,0.9084699453551912
0.07,0.7361419068736142,0.83,0.6194029850746269,0.907103825136612
0.08,0.7575584711922418,0.8407191694099772,0.6503428011753183,0.907103825136612
0.09,0.7719298245614035,0.8448540706605223,0.6748466257668712,0.9016393442622951
0.1,0.7823494335122242,0.8468887167570359,0.6941798941798942,0.8961748633879781
0.11,0.7891238670694863,0.8478317320176578,0.7074756229685807,0.8920765027322405
0.12,0.7951070336391437,0.8483424693291568,0.7198228128460686,0.8879781420765027
0.13,0.8029647930821495,0.8519003931847968,0.7328072153325818,0.8879781420765027
0.14,0.8132832080200502,0.8557489451476794,0.7511574074074074,0.8866120218579235
0.15,0.8174352495262162,0.8560465731675047,0.7602820211515864,0.8838797814207651
0.16,0.8226319135410045,0.8583178561952773,0.7693222354340071,0.8838797814207651
0.17,0.8332260141661301,0.8628967724726594,0.7880633373934226,0.8838797814207651
0.18,0.8395061728395062,0.8647925033467202,0.8004956629491945,0.8825136612021858
0.19,0.8453473132372215,0.8664696399785061,0.8123425692695214,0.8811475409836066
0.2,0.851288830138797,0.8681585332973847,0.8245838668373879,0.8797814207650273
0.21,0.8552456839309429,0.8698001080497028,0.8320413436692506,0.8797814207650273
0.22,0.8580946035976016,0.8709764674060049,0.8374512353706112,0.8797814207650273
0.23,0.8600133958472873,0.8701545134182705,0.8436268068331143,0.8770491803278688
0.24,0.8631153068105192,0.8698015765153575,0.8521970705725699,0.8743169398907104
0.25,0.8627450980392156,0.8680272108843539,0.8540829986613119,0.8715846994535519
0.26,0.863728813559322,0.8676110051757017,0.857335127860027,0.8702185792349727
0.27,0.8654891304347826,0.868320610687023,0.8608108108108108,0.8702185792349727
0.28,0.8667122351332878,0.8663569281224378,0.8673050615595075,0.8661202185792349
0.29,0.8657534246575341,0.8643326039387309,0.8681318681318682,0.8633879781420765
0.3,0.8653846153846154,0.8625410733844469,0.8701657458563536,0.860655737704918
0.31,0.8669882839421089,0.8623526185906225,0.874826147426982,0.8592896174863388
0.32,0.8687845303867404,0.8630625686059276,0.8784916201117319,0.8592896174863388
