conf,F1,F2,precision,recall
0.0,0.21979328696859451,0.4071410116433161,0.1243931762912681,0.9430111826592943
0.01,0.448947435186978,0.65015479876161,0.29617981685320505,0.9271817216607146
0.02,0.5725370245563101,0.7378233864915363,0.41688634433294536,0.9136687671497318
0.03,0.647253565948461,0.780404521118382,0.5039490465434319,0.9044441073866222
0.04,0.6943854745623487,0.8034993469893617,0.5662302640163542,0.8975221653820168
0.05,0.7267498033928772,0.8176162633440263,0.6131738343270424,0.8919653075576024
0.06,0.7504591328074441,0.8270494078460401,0.6501171764515739,0.8874288156860582
0.07,0.7684928139296443,0.833680239365162,0.6798892401705956,0.8836507039146202
0.08,0.7822501592903004,0.8382638336313956,0.7038621404394659,0.8802862540159674
0.09,0.7931842837013853,0.8414977127390776,0.7239134640552628,0.8771148463246142
0.1,0.802178409457485,0.8439810895848971,0.7410077827377475,0.8743571005060463
0.11,0.8097226135286734,0.8458799007869086,0.7558727540078184,0.8718337630820567
0.12,0.8161606750006469,0.8474216442677975,0.7688875342883267,0.8696275664272024
0.13,0.8217651707629305,0.8485712589970756,0.7806636553161918,0.8674351585014409
0.14,0.8261745496681766,0.8491245259935527,0.7905625905625906,0.8651462294720296
0.15,0.8297717209746268,0.8494396599690043,0.7989405833173783,0.8630779201081037
0.16,0.8335112771920459,0.8498920879952319,0.8075694686889846,0.8611750754932918
0.17,0.8366350924067374,0.8500395601997108,0.8152097124466888,0.8592170759621086
0.18,0.8393145202113945,0.8500306238516054,0.8220424136654503,0.8573280200763895
0.19,0.8418787755379081,0.8497830906634439,0.8290266953627334,0.855135612150628
0.2,0.8438341594452891,0.8494811113551503,0.8345875815935696,0.8532879224521875
0.21,0.8455989048596851,0.8492750275662758,0.8395422482569281,0.8517435847937895
0.22,0.8471291619420678,0.8487705324387745,0.8444076063130206,0.8498683176371634
0.23,0.8482612114273103,0.8480506405924619,0.8486123952913901,0.8479103181059802
0.24,0.8490522950445307,0.8471563981042655,0.8522310513447433,0.8458971636584256
0.25,0.8500999888901233,0.8464676355490409,0.856223686235016,0.8440632626890779
0.26,0.8509372583712393,0.845674362964727,0.8598558436804911,0.8422017842615446
0.27,0.8517830193952268,0.8449890073940176,0.8633524537922244,0.8405195593122182
0.28,0.8524364941400774,0.8439815341737154,0.866910936542108,0.8384374612191994
0.29,0.853157080579384,0.8431052644744558,0.8704535345854197,0.8365346166043875
0.3,0.8533361531140954,0.8419721554487181,0.8729735187215139,0.8345628283441116
0.31,0.8536983744263825,0.8407893124157372,0.876117496807152,0.8323979978765357
0.32,0.8539402318409018,0.8396493165353275,0.8788710195265754,0.8303848434289811
0.33,0.8541410465108014,0.8385159918045143,0.8815183261437333,0.8284130551687051
0.34,0.8545261462364672,0.8375526718751747,0.8843974979346159,0.8266067316575432
0.35,0.8543422970308346,0.8361558534545689,0.8864771901733162,0.8244556899190602
0.36,0.8543718528175117,0.8348638493972192,0.8889932325671526,0.8223460143678557
0.37,0.8541002441476375,0.8333263271763225,0.8911248632692509,0.8200295078802586
0.38,0.8536710027139288,0.8316408682626331,0.8931013706883567,0.8175751141017332
0.39,0.8535442846109985,0.830178930460861,0.8955531321943536,0.8152999738014147
0.4,0.85297225318068,0.8282712152175564,0.8975858655091006,0.8125835941701254
0.41,0.852713515709446,0.8268057712652217,0.8996999571367338,0.8103911862443639
0.42,0.8520369198542409,0.8248276328241178,0.9016070439012376,0.807633440425796
0.43,0.8517157398900409,0.8232476579525304,0.9038053823178941,0.8053031452091061
0.44,0.8507013002208474,0.8208091669841807,0.9056724226523208,0.8020214276850103
0.45,0.8499116523575256,0.818746080087693,0.9074839517770471,0.799208526950071
0.46,0.8490618750735207,0.8165363349689607,0.9094388357771723,0.796202584007832
0.47,0.8478190344176719,0.8139083854053121,0.9110847001030029,0.792769190463715
0.48,0.846602085336094,0.8112693063188955,0.9128645924697402,0.7893082194614123
0.49,0.8452712074349332,0.8084888419714409,0.9146227929373997,0.7856955724390883
0.5,0.8435932919661325,0.8053412884437814,0.9161158961265614,0.7817106297312577
0.51,0.8416369309783664,0.8018160767167246,0.9175876943110605,0.777298236421549
0.52,0.8397552554913987,0.7984283500808896,0.9190380958625664,0.7730650965900473
0.53,0.8379050495488387,0.795092251974791,0.9205156987685298,0.7689009004040097
0.54,0.8358589285445033,0.7914514392751797,0.9220878590794923,0.7643781972615584
0.55,0.8335893109787929,0.7875662631311082,0.9235373009220452,0.7596072969954359
0.56,0.8310297691373025,0.78332364588016,0.9249116757103978,0.7544503123147139
0.57,0.8283627603451956,0.7789304956973802,0.9263414550972736,0.7491278628848779
0.58,0.8252762483823293,0.7738727818978739,0.9280129507801468,0.74301945589675
0.59,0.8221711138630997,0.7688102745874282,0.92971957414237,0.7369248376377149
0.6,0.8185942269794042,0.7632059810239679,0.9312315374876916,0.7302648814858734
0.61,0.8148130888303781,0.7573053823053822,0.9328804154513766,0.7232739958358038
0.62,0.8110677489853263,0.7514991798986952,0.9345288414842527,0.7164209974766625
0.63,0.8061897434286972,0.7442287231729484,0.9360790534011559,0.7079547178136592
0.64,0.8012415492512794,0.7368856864767493,0.9377368605919435,0.6994332832342843
0.65,0.7960033702685086,0.7291008372770295,0.939718108965336,0.6904154544075672
0.66,0.7904684174308256,0.7209897735466787,0.9417170311338201,0.6810804848117149
0.67,0.784401563066511,0.712324838154552,0.9435183749418514,0.6712077547812418
0.68,0.777288818161151,0.7024121526239021,0.9452222507454434,0.660025095486949
0.69,0.7695683500360254,0.6917178139856641,0.9472517283776429,0.6480151124470858
0.7,0.7614147803754139,0.6806343788201806,0.9491661519456455,0.6356741999089944
0.71,0.7515490138848351,0.6676020196513021,0.9508144834571236,0.6213339216524413
0.72,0.7405477858425431,0.6532427898343803,0.9527765726681128,0.6056423479447899
0.73,0.7302009078753502,0.6398625614204774,0.9548937497215664,0.5911090274809371
0.74,0.7173943030553832,0.6236640374624131,0.9571418712185695,0.5736938626366808
0.75,0.7032692526050083,0.6062006866228995,0.9592784979031643,0.555120444548626
0.76,0.6895539023591957,0.5894451569192054,0.9618004145691442,0.5374295051225129
0.77,0.6731404365307295,0.5699513363506215,0.9640369142181435,0.5171049184396674
0.78,0.6561102865519973,0.5502272505131462,0.9658981233243967,0.49678033175682196
0.79,0.6380319321049858,0.5296774074710809,0.9681012232072719,0.47580767480661307
0.8,0.6177935675482622,0.5072430216657869,0.9702140221402215,0.45318037036526343
0.81,0.596070704365459,0.4836596640351177,0.9729586260733801,0.4296430098037864
0.82,0.57239175338088,0.458674911384894,0.9754591040414439,0.40503012837306784
0.83,0.5473650755815108,0.432923284787356,0.9784468984128112,0.3799622188822856
0.84,0.5206706174340273,0.406264622933819,0.9811774587660355,0.3543565489568826
