epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3418.47,1.06986,0.65139,0.93021,0.8731,0.78711,0.83149,0.57357,0.86811,0.52731,0.90394,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,3530.72,1.07287,0.64594,0.92893,0.87413,0.78747,0.83276,0.5754,0.86669,0.52535,0.90317,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,3648.25,1.07481,0.64993,0.93205,0.87401,0.78873,0.83328,0.57628,0.86313,0.52412,0.90203,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,3760.94,1.06607,0.64221,0.92706,0.87534,0.78785,0.83341,0.5774,0.86096,0.52108,0.90215,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,3874.06,1.06137,0.64163,0.92784,0.87523,0.78987,0.83545,0.57827,0.85863,0.51979,0.9015,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,3986.82,1.06242,0.64257,0.92873,0.87662,0.78991,0.83646,0.57942,0.8557,0.5183,0.90158,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,4101.62,1.06083,0.64258,0.9292,0.87565,0.79133,0.83736,0.58041,0.85352,0.51675,0.90123,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,4215.36,1.05528,0.63857,0.92867,0.87587,0.79143,0.83758,0.58125,0.85087,0.51504,0.90075,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,4328.22,1.05065,0.63827,0.9272,0.87737,0.79109,0.83798,0.5823,0.84888,0.51373,0.90054,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
39,4441.27,1.0594,0.63826,0.92476,0.87662,0.79272,0.83827,0.58282,0.84702,0.51281,0.90001,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
40,4553.86,1.05293,0.63376,0.92473,0.87776,0.79223,0.83833,0.58344,0.84551,0.51192,0.89991,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
