conf,F1,F2,precision,recall
0.0,0.32957165272612704,0.5358497358034532,0.20076345989427163,0.9195427657432814
0.01,0.5817379153204632,0.7389067887626477,0.4294829251624689,0.9012313335079906
0.02,0.6697050049718264,0.7872263226975311,0.5362750383610501,0.8915240682266315
0.03,0.7186638887021978,0.8098364877043903,0.6051214336241453,0.8846572811383975
0.04,0.7500587709812403,0.8229113202534812,0.6536172653617265,0.879886380872275
0.05,0.7715341712537855,0.8312453248662193,0.6890406504065041,0.8764667760572508
0.06,0.7868730234667694,0.8364683504174152,0.7161080200841362,0.8731574810749693
0.07,0.7983405848426591,0.8400386481659421,0.7373401086385141,0.87034458034003
0.08,0.807891510977903,0.842836558805727,0.7556729499339656,0.8678626091033189
0.09,0.81516237053189,0.8449231961384165,0.7699616275791048,0.8660011306757857
0.1,0.8214409750663477,0.8466018683105783,0.7826727604205689,0.864249962080995
0.11,0.8263184316212218,0.8476370131260487,0.7930745920450367,0.8624712160280187
0.12,0.8305862633196313,0.8485204302127416,0.8023233400583405,0.8609130896405278
0.13,0.8340985449823979,0.8489902802037154,0.8104069396938524,0.8592170759621086
0.14,0.8373561709318845,0.8492990909488222,0.8181806220725225,0.8574521186382251
0.15,0.8401558926614071,0.849634473113041,0.8248196516586733,0.8560732457289412
0.16,0.8428501509095357,0.84999876603131,0.8311993028088758,0.8548322601105857
0.17,0.8453951861869244,0.8501542662941199,0.8375806953673753,0.8533568660976518
0.18,0.8475280660005349,0.85022538017425,0.8430703741097497,0.8520331481047392
0.19,0.8493640918350495,0.8502699291487655,0.84785864442643,0.8508748948609407
0.2,0.8510035973458354,0.8502392397309037,0.852280585290294,0.849730430346235
0.21,0.8522828014184398,0.8499446060676388,0.8562085136583126,0.8483929236242296
0.22,0.85347690170198,0.8495957335575726,0.8600249205482521,0.8470278394440385
0.23,0.8548193778570632,0.849343484558524,0.8641044786633043,0.8457316989093115
0.24,0.8559668481261224,0.8490356782414853,0.8677737474495579,0.8444769245618632
0.25,0.8572930317959788,0.8488869150058291,0.8716793980161898,0.843373826234436
0.26,0.8583194541071968,0.8484916691675837,0.8752149736299014,0.8420638969706162
0.27,0.8590449889394558,0.8479340222243856,0.8782247958169482,0.8406850240613323
0.28,0.8598606020803763,0.8475185005763161,0.8812494571982746,0.8394854046302552
0.29,0.8606842265465176,0.8470953466466763,0.8843278154365345,0.8382719964700853
0.3,0.8609881378057779,0.8462405270542034,0.8867439243595552,0.8366862926244089
0.31,0.8615743473406486,0.8455941884942462,0.8895937968102916,0.8352660535278463
0.32,0.8617132754970381,0.8445018862651948,0.8920127512618437,0.833404575100313
0.33,0.8620293043956594,0.8437049011601239,0.8944052419354839,0.8319153923582864
0.34,0.8624131757966346,0.8428722996257199,0.8970756923443621,0.8303296885126098
0.35,0.8626890949278065,0.842030500088256,0.8994687616909839,0.8287991395833046
0.36,0.8628477716718935,0.8410053926421142,0.9018870761596872,0.827047970988514
0.37,0.8629533809444881,0.8401294298575486,0.9038798309178744,0.8255725769755802
0.38,0.8627439649817252,0.8387381288780402,0.905960345272228,0.8234629014243757
0.39,0.8626233234167915,0.8375501093550582,0.9079232058509827,0.8216290004550281
0.4,0.8624131377754566,0.8362663920704722,0.9098241479055388,0.8196985783820305
0.41,0.8620195837543525,0.8347741121611119,0.9116082410824108,0.8175475366435475
0.42,0.8615541549783235,0.8331407441645481,0.9134760977720096,0.8152172414268577
0.43,0.8610025922815729,0.83149043479242,0.9151376858837044,0.8129145236683535
0.44,0.8604920024000117,0.8299575140796364,0.9167017445395444,0.8107772706589633
0.45,0.8596618623244214,0.8279222614042226,0.9183382435905473,0.8080333135694883
0.46,0.8587768303440164,0.825968796043087,0.9196593038084292,0.8054548212291273
0.47,0.8578817461779332,0.8239313433004806,0.921141736021012,0.8027522303269308
0.48,0.8565647017118887,0.8214746086833346,0.9222206319673043,0.799635977551949
0.49,0.8554441663828464,0.8191140313812457,0.9237275939813556,0.7965610909642459
0.5,0.8539861448332703,0.8162856850855079,0.9252043246026128,0.7929484439419219
0.51,0.8524387611554808,0.8135797908615593,0.9261661383192081,0.7895839940432691
0.52,0.8506683983071721,0.8104913723950776,0.9272789403456244,0.7857507273554597
0.53,0.8489022299740248,0.807357371895272,0.9285363377329446,0.781848517022186
0.54,0.846956169135923,0.8039430917488738,0.9298740271731961,0.7776153771906843
0.55,0.8447742081277542,0.8003162786449116,0.9309669278788684,0.7731891951518829
0.56,0.8426398240721849,0.7966938747513546,0.9322453347602168,0.7687492243839885
0.57,0.8400172880507722,0.7925552007142612,0.9331536388140161,0.7637852819105663
0.58,0.8373430723579091,0.7883403677374434,0.9341164887025311,0.758738607062587
0.59,0.8343479556061382,0.7836137829710063,0.9352695390095211,0.7530852281345228
0.6,0.8315419880099969,0.7791995080615269,0.9363766639617397,0.7478179336210582
0.61,0.8285956136975761,0.7746051295037105,0.9375032650147144,0.7423575969002937
0.62,0.8253556168532642,0.7696142850555633,0.9386643233743409,0.7364560208485584
0.63,0.8216175945614552,0.7640282079630052,0.9396645069672495,0.7299201632585525
0.64,0.8176580200999539,0.7581225349017431,0.9407923065882016,0.7230257987121327
0.65,0.8132899737491676,0.751686057291184,0.9419516445218906,0.7155523075438137
