bin_lo,bin_hi,count,mean_conf,mean_acc,gap
0.0,0.1,252090,0.011068547144532204,0.01590701733507874,0.004838470190546538
0.1,0.2,7776,0.1418055146932602,0.13541666666666666,0.0063888480265935355
0.2,0.30000000000000004,3877,0.24675986170768738,0.244003095176683,0.002756766531004373
0.30000000000000004,0.4,3090,0.3486264944076538,0.39870550161812296,0.05007900721046915
0.4,0.5,3183,0.4517674148082733,0.609487904492617,0.1577204896843437
0.5,0.6000000000000001,4237,0.5532753467559814,0.77248052867595,0.21920518191996852
0.6000000000000001,0.7000000000000001,6672,0.655174195766449,0.8394784172661871,0.18430422149973813
0.7000000000000001,0.8,11552,0.7546740770339966,0.8943040166204986,0.13962993958650205
0.8,0.9,21647,0.8563024401664734,0.9462281147503118,0.08992567458383838
0.9,1.0,18048,0.9281677007675171,0.9873116134751773,0.05914391270766017
