epoch,epoch_time_s,samples_per_sec,vram_peak_MB,precision,recall,mAP50,mAP50-95,grad_norm_total
80,112.366,54.545,8502.6,0.88419,0.79935,0.84577,0.5965,0.0
81,112.649,54.408,8621.9,0.88424,0.79934,0.84584,0.597,0.0
82,113.136,54.174,8518.2,0.88401,0.80005,0.84613,0.59731,0.0
83,112.776,54.347,8412.6,0.88394,0.80031,0.84601,0.59757,0.0
84,113.119,54.182,8703.3,0.88347,0.8007,0.84622,0.59781,0.0
85,112.645,54.41,8538.4,0.88386,0.80059,0.84642,0.59809,0.0
86,112.399,54.529,8531.1,0.884,0.80052,0.84656,0.59838,0.0
87,113.771,53.871,8716.8,0.88454,0.80023,0.84661,0.59869,0.0
88,114.238,53.651,8498.0,0.88489,0.80055,0.84679,0.59898,0.0
89,113.549,53.977,8765.8,0.88393,0.80132,0.84666,0.59929,0.0
90,113.264,54.113,8629.4,0.88396,0.80192,0.84703,0.59959,0.0
91,114.829,53.375,8573.2,0.88424,0.80167,0.84707,0.59966,0.0
92,111.922,54.761,8662.8,0.88392,0.80256,0.84721,0.59999,0.0
93,112.147,54.651,8558.5,0.88428,0.80284,0.84739,0.60035,0.0
94,112.269,54.592,8538.6,0.88397,0.80347,0.84768,0.60064,0.0
95,111.11,55.162,8334.6,0.88352,0.80367,0.8477,0.60077,0.0
96,112.381,54.538,8598.1,0.88311,0.80425,0.84789,0.60125,0.0
97,112.651,54.407,8533.0,0.88331,0.80458,0.84791,0.60125,0.0
98,112.275,54.589,8602.5,0.88329,0.80476,0.84801,0.60158,0.0
99,112.654,54.405,8625.0,0.88288,0.80493,0.84796,0.60204,0.0
100,113.293,54.099,8502.0,0.88365,0.80451,0.84814,0.60227,0.0
101,112.638,54.413,8439.3,0.88347,0.80497,0.84828,0.60272,0.0
102,112.126,54.662,8602.4,0.88381,0.8048,0.84847,0.60302,0.0
103,115.378,53.121,8503.9,0.88371,0.80532,0.8486,0.60332,0.0
104,113.197,54.145,8565.7,0.88346,0.80551,0.84867,0.60356,0.0
105,113.895,53.813,8680.7,0.88358,0.80546,0.84884,0.60397,0.0
106,113.391,54.052,8609.3,0.88351,0.80551,0.84878,0.60426,0.0
107,112.979,54.249,8496.2,0.88375,0.80572,0.84894,0.60457,0.0
108,112.718,54.374,8776.0,0.8839,0.80543,0.8489,0.6049,0.0
109,112.256,54.598,8660.7,0.88394,0.80542,0.84901,0.60522,0.0
110,114.193,53.672,8540.9,0.88395,0.8059,0.84926,0.60554,0.0
111,112.535,54.463,8661.6,0.88365,0.80657,0.84933,0.60585,0.0
112,112.526,54.467,8639.2,0.88414,0.8065,0.8496,0.60622,0.0
113,113.249,54.12,8624.5,0.88391,0.80679,0.84977,0.60652,0.0
114,112.624,54.42,8657.7,0.88417,0.80683,0.84981,0.60675,0.0
115,112.495,54.482,8574.1,0.88453,0.80722,0.85004,0.60704,0.0
116,112.643,54.411,8796.1,0.88479,0.80729,0.85021,0.6072,0.0
117,112.303,54.576,8417.4,0.88556,0.80719,0.85027,0.60766,0.0
118,111.565,54.936,8482.7,0.88653,0.80683,0.85068,0.60805,0.0
119,115.112,53.244,8675.7,0.88698,0.80705,0.85089,0.60837,0.0
120,114.931,53.328,8396.6,0.8863,0.80737,0.85095,0.60864,0.0
121,113.036,54.222,8665.6,0.88766,0.80676,0.85098,0.60914,0.0
122,113.756,53.878,8519.7,0.88795,0.80637,0.85108,0.60943,0.0
123,113.238,54.125,8493.9,0.88755,0.807,0.8512,0.60964,0.0
124,112.57,54.446,8528.6,0.8875,0.80747,0.85131,0.61003,0.0
125,112.819,54.326,8516.0,0.88664,0.80833,0.85144,0.61016,0.0
126,111.93,54.758,8480.3,0.8865,0.80856,0.85148,0.61044,0.0
127,112.484,54.488,8511.9,0.88678,0.8085,0.85143,0.61072,0.0
128,112.967,54.255,8654.0,0.88628,0.80913,0.85156,0.6109,0.0
129,112.811,54.33,8519.7,0.8862,0.80902,0.85151,0.61112,0.0
130,112.263,54.595,8649.0,0.88619,0.80895,0.85167,0.61134,0.0
131,112.488,54.486,8765.4,0.88597,0.80998,0.85195,0.61157,0.0
132,112.196,54.628,8653.3,0.88643,0.80949,0.85179,0.61177,0.0
133,112.459,54.5,8651.6,0.8856,0.81014,0.85189,0.61184,0.0
134,114.25,53.646,8525.2,0.88599,0.80994,0.85214,0.61219,0.0
135,115.005,53.294,8426.7,0.88534,0.81044,0.85229,0.61261,0.0
136,114.879,53.352,8542.0,0.88615,0.81006,0.8524,0.61276,0.0
137,112.265,54.594,8645.0,0.88637,0.80991,0.85237,0.61294,0.0
138,112.495,54.482,8659.6,0.88669,0.81003,0.85243,0.61292,0.0
139,113.382,54.056,8646.9,0.88688,0.80982,0.85255,0.61336,0.0
140,113.393,54.051,8649.8,0.88741,0.80973,0.85421,0.61378,0.0
141,113.801,53.857,8696.5,0.88769,0.80964,0.85426,0.61388,0.0
142,112.569,54.447,8631.3,0.88816,0.80978,0.8546,0.61426,0.0
143,112.697,54.385,8521.2,0.8886,0.8101,0.85499,0.61484,0.0
144,112.328,54.563,8637.7,0.88887,0.81047,0.85511,0.61526,0.0
145,112.482,54.489,8737.9,0.88824,0.81113,0.85519,0.61577,0.0
146,112.343,54.556,8536.1,0.8891,0.81079,0.85543,0.61611,0.0
147,112.497,54.482,8569.8,0.88902,0.81111,0.85558,0.61669,0.0
148,112.677,54.394,8550.7,0.88944,0.81118,0.85579,0.61698,0.0
149,112.396,54.53,8730.5,0.89018,0.8112,0.85599,0.6172,0.0
150,112.272,54.591,8707.0,0.89005,0.8116,0.85613,0.61767,0.0
151,112.202,54.625,8573.4,0.89078,0.81149,0.85631,0.61805,0.0
152,112.46,54.499,8589.1,0.89064,0.81164,0.8564,0.61841,0.0
153,112.936,54.27,8533.8,0.89122,0.81166,0.85655,0.61868,0.0
154,114.543,53.508,8584.1,0.89123,0.81168,0.85677,0.61889,0.0
155,112.944,54.266,8610.4,0.89028,0.81242,0.85677,0.61914,0.0
156,112.628,54.418,8632.6,0.89142,0.81162,0.85669,0.61937,0.0
157,113.385,54.055,8528.0,0.89106,0.81199,0.85684,0.61959,0.0
158,112.329,54.563,8518.7,0.89166,0.81199,0.85702,0.62009,0.0
159,112.464,54.498,8719.3,0.89172,0.81256,0.85717,0.62033,0.0
160,113.048,54.216,8529.1,0.89167,0.8126,0.85738,0.62056,0.0
161,112.065,54.691,8610.7,0.89235,0.8124,0.85731,0.621,0.0
162,112.104,54.672,8558.3,0.89299,0.81186,0.85741,0.62119,0.0
163,114.788,53.394,8576.1,0.89364,0.81183,0.85777,0.62153,0.0
164,112.406,54.525,8599.8,0.89304,0.81283,0.85786,0.62163,0.0
165,112.815,54.328,8787.8,0.89336,0.81252,0.85791,0.62206,0.0
166,111.937,54.754,8612.1,0.89361,0.81215,0.85803,0.62209,0.0
167,112.336,54.56,8534.2,0.89389,0.81222,0.85816,0.62247,0.0
