bin,lo_px,hi_px,gt_total,matched,recall
very_tiny,0,8,25072,18923,0.7547463305679643
tiny,8,16,20520,17997,0.877046783625731
small,16,32,26614,23997,0.9016682948823928
medium,32,96,317,297,0.9369085173501577
large,96,1000000,0,0,
