epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5348.05,1.04726,0.67625,1.05493,0.86835,0.80351,0.8506,0.59234,0.90672,0.61442,1.04578,0.0008647,0.0008647,0.0008647
43,5474.21,1.04708,0.67714,1.0563,0.87001,0.80562,0.85185,0.59515,0.90345,0.60833,1.04211,0.0008614,0.0008614,0.0008614
44,5600.76,1.04455,0.67093,1.05221,0.87136,0.80647,0.85322,0.59916,0.89248,0.60195,1.03815,0.0008581,0.0008581,0.0008581
45,5727.15,1.04269,0.67143,1.05425,0.8737,0.80623,0.85381,0.59947,0.89459,0.60062,1.03966,0.0008548,0.0008548,0.0008548
46,5853.81,1.04097,0.66986,1.05349,0.86864,0.80804,0.85309,0.59959,0.89557,0.60136,1.0391,0.0008515,0.0008515,0.0008515
47,5979.92,1.03589,0.66695,1.05097,0.8748,0.81019,0.85564,0.60264,0.8876,0.59442,1.03616,0.0008482,0.0008482,0.0008482
48,6105.98,1.03204,0.66542,1.05037,0.87316,0.80824,0.85432,0.60152,0.88939,0.60071,1.03418,0.0008449,0.0008449,0.0008449
49,6232.37,1.03447,0.6625,1.04953,0.87224,0.80819,0.85403,0.60116,0.88938,0.60018,1.03639,0.0008416,0.0008416,0.0008416
50,6358.63,1.0307,0.66254,1.05073,0.87643,0.80793,0.85501,0.6031,0.8863,0.59569,1.03667,0.0008383,0.0008383,0.0008383
51,6484.87,1.0347,0.65929,1.04963,0.87555,0.81096,0.85649,0.60575,0.88176,0.59207,1.0332,0.000835,0.000835,0.000835
52,6611.27,1.02817,0.66296,1.05046,0.87834,0.80959,0.85678,0.60601,0.8815,0.59371,1.03191,0.0008317,0.0008317,0.0008317
53,6737.73,1.02352,0.65622,1.04748,0.87507,0.80771,0.85567,0.60425,0.88255,0.59107,1.03654,0.0008284,0.0008284,0.0008284
