epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.642,2.09002,1.23095,1.65448,0.79494,0.71735,0.73565,0.41243,1.46067,1.0279,1.2306,0.000332682,0.000332682,0.0670645
2,290.283,1.53792,0.90563,1.21624,0.80747,0.74818,0.76775,0.44275,1.35906,0.85566,1.16173,0.000663818,0.000663818,0.0340623
3,417.272,1.45776,0.85145,1.18202,0.83196,0.75548,0.79219,0.48377,1.26673,0.78226,1.13969,0.000992753,0.000992753,0.00105786
4,543.983,1.41552,0.82364,1.16495,0.8337,0.75334,0.78947,0.47844,1.25242,0.76821,1.12906,0.0009901,0.0009901,0.0009901
5,670.375,1.3874,0.80314,1.15276,0.83803,0.76307,0.80277,0.49656,1.22578,0.75777,1.11222,0.0009868,0.0009868,0.0009868
6,797.133,1.37227,0.79691,1.14055,0.83917,0.76498,0.80445,0.50173,1.19934,0.7324,1.11065,0.0009835,0.0009835,0.0009835
7,923.831,1.35484,0.77629,1.12247,0.84149,0.765,0.80822,0.498,1.22397,0.71872,1.10004,0.0009802,0.0009802,0.0009802
8,1050.51,1.32502,0.76203,1.11622,0.85241,0.77717,0.82091,0.5289,1.14287,0.69282,1.07343,0.0009769,0.0009769,0.0009769
9,1177.35,1.31333,0.75265,1.10734,0.84889,0.77265,0.8179,0.5205,1.16514,0.69463,1.07736,0.0009736,0.0009736,0.0009736
10,1303.97,1.30161,0.74773,1.10232,0.84258,0.77094,0.81506,0.52225,1.1328,0.70215,1.0723,0.0009703,0.0009703,0.0009703
11,1430.75,1.28705,0.73564,1.09788,0.8434,0.77832,0.81783,0.516,1.17668,0.7022,1.08479,0.000967,0.000967,0.000967
12,1557.18,1.27996,0.72751,1.09206,0.84977,0.77625,0.82244,0.5261,1.1472,0.70537,1.07789,0.0009637,0.0009637,0.0009637
13,1683.64,1.27539,0.72575,1.08919,0.85484,0.78183,0.82824,0.5417,1.09614,0.67615,1.05931,0.0009604,0.0009604,0.0009604
