bin_lo,bin_hi,count,mean_conf,mean_acc,gap
0.0,0.1,427989,0.010495488531887531,0.013427915203428125,0.002932426671540594
0.1,0.2,9073,0.14052218198776245,0.1735919761931004,0.033069794205337955
0.2,0.30000000000000004,4165,0.24704509973526,0.35006002400960384,0.10301492427434383
0.30000000000000004,0.4,3356,0.3506831228733063,0.5297973778307509,0.1791142549574446
0.4,0.5,4063,0.4526464641094208,0.6884075806054639,0.23576111649604314
0.5,0.6000000000000001,6214,0.5543153285980225,0.7983585452204699,0.24404321662244743
0.6000000000000001,0.7000000000000001,11293,0.6549121141433716,0.8614185778801027,0.2065064637367311
0.7000000000000001,0.8,16724,0.7514605522155762,0.9235230806027266,0.17206252838715042
0.8,0.9,17136,0.850684642791748,0.9785830999066293,0.12789845711488124
0.9,1.0,6974,0.9199511408805847,0.9972755950673932,0.07732445418680844
