bin_lo,bin_hi,count,mean_conf,mean_acc,gap
0.0,0.1,0,,,
0.1,0.2,3082,0.14357101917266846,0.1145360155743024,0.029035003598366055
0.2,0.30000000000000004,1882,0.24851831793785095,0.25770456960680127,0.009186251668950318
0.30000000000000004,0.4,1882,0.3512845039367676,0.4022316684378321,0.05094716450106451
0.4,0.5,2502,0.452085942029953,0.5331734612310152,0.08108751920106216
0.5,0.6000000000000001,4250,0.5556816458702087,0.6574117647058824,0.10173011883567362
0.6000000000000001,0.7000000000000001,9450,0.6565556526184082,0.7805291005291005,0.12397344791069231
0.7000000000000001,0.8,20062,0.7551274299621582,0.8751370750672914,0.12000964510513323
0.8,0.9,23239,0.8482250571250916,0.959851972976462,0.11162691585137041
0.9,1.0,8812,0.915099561214447,0.9982977757603269,0.08319821454587983
