conf,precision,recall,F1,F2,TP,FP,FN
0.1,0.828488882288615,0.8461729382402824,0.8372375404177524,0.8425759893234623,61367,12704,11156
0.11,0.8325663476549243,0.8456765439929401,0.839070238323255,0.8430215775916339,61331,12334,11192
0.12,0.8360890562331178,0.8450698399128552,0.840555460312018,0.8432582816447163,61287,12015,11236
0.13,0.8389509004998973,0.8446423893109772,0.8417870246945816,0.8434979221000972,61256,11759,11267
0.14,0.8418584825234442,0.8442149387090991,0.8430350639247085,0.8437425927048823,61225,11501,11298
0.15,0.8443662457738218,0.8436909670035713,0.8440284713217644,0.8438259363355279,61187,11278,11336
0.16,0.8466650974093408,0.8431394178398577,0.8448985795611562,0.8438422027363082,61147,11074,11376
0.17,0.8489981380096157,0.8424775588434014,0.8457252801251305,0.8437736495257666,61099,10867,11424
0.18,0.8511804325696197,0.841650235097831,0.8463885075640971,0.8435391635779691,61039,10672,11484
0.19,0.853281096963761,0.8408918549977249,0.8470411756127034,0.8433408378092829,60984,10486,11539
0.2,0.8550879211866904,0.8401610523558044,0.8475587703435804,0.8431045886386846,60931,10326,11592
0.21,0.8569578923665842,0.8396232919211837,0.848202035116556,0.8430338808466336,60892,10164,11631
0.22,0.8586165048543689,0.8389752216538202,0.8486822375808127,0.842831259211649,60845,10019,11678
0.23,0.8602393955686353,0.8383547288446423,0.8491560813122814,0.8426421265626298,60800,9878,11723
0.24,0.862132587746065,0.8375963487445363,0.8496873732357919,0.8423912289800889,60745,9714,11778
0.25,0.8638822457578863,0.8367828137280587,0.8501166203220544,0.8420658267192097,60686,9562,11837
0.26,0.8653818700927909,0.8358727576079312,0.8503713886921086,0.8416124750792743,60620,9430,11903
0.27,0.8667582810844857,0.8349075465714325,0.850534832597046,0.8410890401444645,60550,9308,11973
0.28,0.8683020655403563,0.8341078002840479,0.8508615233138759,0.8407294883519246,60492,9175,12031
0.29,0.8700240429605954,0.8332666878093846,0.8512487498415291,0.8403675695520247,60431,9028,12092
0.3,0.8717289584657154,0.8323152655019787,0.8515663024540266,0.8399102789589687,60362,8882,12161
0.31,0.8732125005433129,0.8310467024254374,0.8516079805572826,0.8391509079314867,60270,8751,12253
0.32,0.8747964642940219,0.8296954069743392,0.8516492459679988,0.8383397050791918,60172,8612,12351
0.33,0.8762157511774742,0.8285647311887263,0.8517242845601054,0.8376757529881144,60090,8489,12433
0.34,0.8778675093632958,0.8273789004867421,0.8518757763975155,0.8370066174911563,60004,8348,12519
0.35,0.879231660968201,0.8261792810556651,0.8518802871969858,0.8362713160766975,59917,8230,12606
0.36,0.8806701903682219,0.8247866194172883,0.8518128221924753,0.8353886590710392,59816,8105,12707
0.37,0.8818352308805505,0.8234215352370972,0.8516279003436916,0.8344768606890228,59717,8002,12806
0.38,0.8831224628877893,0.8219323524950706,0.8514294284428764,0.8334824799351214,59609,7889,12914
0.39,0.8844444444444445,0.8204431697530439,0.8512425070458806,0.8324915283168284,59501,7774,13022
0.4,0.8858771053063417,0.8188160997200888,0.851027544498266,0.831403570178509,59383,7650,13140
0.41,0.8873243656191019,0.8167891565434414,0.8505969945649442,0.8299845873616365,59236,7522,13287
0.42,0.8890359850764231,0.8148587344704439,0.8503327457822224,0.8286871361102074,59096,7376,13427
0.43,0.8903507446904927,0.8127490589192394,0.8497819426923771,0.8271680129331395,58943,7259,13580
0.44,0.892161924139816,0.8101705665788784,0.8491917242974109,0.8253406377300183,58756,7102,13767
0.45,0.8935073648257144,0.8079919473822098,0.8486007023641433,0.8237599599633373,58598,6984,13925
0.46,0.8947303902790334,0.805137680459992,0.8475730128316786,0.8215914879007635,58391,6870,14132
0.47,0.8963817562884121,0.8024213008287027,0.8468030616105469,0.8196037891570167,58194,6727,14329
0.48,0.8978517107321531,0.7993050480537209,0.8457172869585515,0.8172449281696298,57968,6595,14555
0.49,0.8995607339792517,0.7962991051114818,0.844786097234514,0.8150103022947304,57750,6448,14773
0.5,0.9012618543773023,0.7927967679219007,0.8435569770683256,0.8123497048492881,57496,6299,15027
0.51,0.9031524776232497,0.7888807688595342,0.8421579450945756,0.8093617286151216,57212,6135,15311
0.52,0.9052442437348938,0.7849785585262606,0.8408327240770691,0.8064054620658394,56929,5959,15594
