bin_lo,bin_hi,count,mean_conf,mean_acc,gap
0.0,0.1,0,,,
0.1,0.2,3679,0.1427917778491974,0.09105735254145148,0.05173442530774591
0.2,0.30000000000000004,1974,0.24805355072021484,0.19756838905775076,0.050485161662464084
0.30000000000000004,0.4,1751,0.3493328094482422,0.33580810965162766,0.013524699796614525
0.4,0.5,2122,0.4522090256214142,0.4882186616399623,0.03600963601854812
0.5,0.6000000000000001,3487,0.5552228689193726,0.6148551763693719,0.05963230744999937
0.6000000000000001,0.7000000000000001,7724,0.6566691398620605,0.744432936302434,0.08776379644037346
0.7000000000000001,0.8,19174,0.7569527626037598,0.850057369354334,0.09310460675057419
0.8,0.9,26431,0.8468169569969177,0.9459725322537929,0.09915557525687513
0.9,1.0,10367,0.9183011651039124,0.9974920420565255,0.07919087695261318
