bin_lo,bin_hi,count,mean_conf,mean_acc,gap
0.0,0.1,0,,,
0.1,0.2,10439,0.14131520688533783,0.1492480122617109,0.007932805376373059
0.2,0.30000000000000004,5123,0.24665699899196625,0.3015811048213937,0.05492410582942747
0.30000000000000004,0.4,4107,0.3479624390602112,0.47406866325785246,0.12610622419764128
0.4,0.5,4575,0.45214176177978516,0.6526775956284153,0.20053583384863016
0.5,0.6000000000000001,6961,0.5547112226486206,0.7758942680649332,0.22118304541631262
0.6000000000000001,0.7000000000000001,12556,0.6548247933387756,0.8637304874163746,0.20890569407759896
0.7000000000000001,0.8,18224,0.7509263753890991,0.92756804214223,0.17664166675313087
0.8,0.9,17018,0.8507623076438904,0.9820777999764955,0.1313154923326051
0.9,1.0,4929,0.9127848148345947,0.9993913572732805,0.08660654243868582
