bin_lo,bin_hi,count,mean_conf,mean_acc,gap
0.0,0.1,0,,,
0.1,0.2,14790,0.14006011188030243,0.07728194726166329,0.06277816461863914
0.2,0.30000000000000004,6711,0.24625293910503387,0.14975413500223514,0.09649880410279874
0.30000000000000004,0.4,4799,0.34789857268333435,0.23025630339654093,0.11764226928679342
0.4,0.5,4592,0.4505831003189087,0.3558362369337979,0.09474686338511079
0.5,0.6000000000000001,5652,0.5528677701950073,0.49416135881104034,0.05870641138396698
0.6000000000000001,0.7000000000000001,9284,0.6552956104278564,0.709500215424386,0.05420460499652957
0.7000000000000001,0.8,18751,0.7557924389839172,0.85675430643699,0.10096186745307278
0.8,0.9,27428,0.8485228419303894,0.9589106023042147,0.11038776037382525
0.9,1.0,8590,0.9161096215248108,0.9994179278230501,0.08330830629823927
