conf,precision,recall,F1,F2,TP,FP,FN
0.1,0.8216894400021287,0.8515781200446755,0.8363668373012649,0.8454276898478588,61759,13402,10764
0.11,0.8263587684069612,0.8511644581718903,0.8385782112849215,0.8460848922125487,61729,12971,10794
0.12,0.830618234692229,0.8506956413827338,0.8405370608791614,0.8466028849953893,61695,12581,10828
0.13,0.8339486388900158,0.8503233456972271,0.8420563938007783,0.8469971623919414,61668,12279,10855
0.14,0.8370766682056435,0.8499924161989989,0.8434851024527076,0.8473774791468491,61644,11998,10879
0.15,0.8397922601927454,0.8494960219516567,0.8446162704614625,0.8475373707191852,61608,11753,10915
0.16,0.8427975090672689,0.8490961488079644,0.8459351045415832,0.8478289004480156,61579,11486,10944
0.17,0.8454214467266608,0.8484756559987866,0.8469457978913755,0.8478630500141922,61534,11251,10989
0.18,0.8475120606478291,0.8478275857314231,0.8476697938279348,0.8477644619211234,61487,11063,11036
0.19,0.8500975279095826,0.8473311914840809,0.8487121055175747,0.8478830175037736,61451,10836,11072
0.2,0.8519263585787816,0.8467106986749031,0.8493105212929283,0.8477487153858261,61406,10673,11117
0.21,0.8539643224890769,0.8462280931566537,0.8500786070961084,0.8477641052276782,61371,10495,11152
0.22,0.8558072033602657,0.8456351778056617,0.8506907839982246,0.8476501922582537,61328,10333,11195
0.23,0.8576506479330516,0.8450560511837624,0.8513067696432169,0.8475452911077306,61286,10172,11237
0.24,0.8592636246281641,0.844394192187306,0.8517640186103442,0.8473267655523578,61238,10030,11285
0.25,0.8607317176093287,0.8437599106490354,0.8521613190730838,0.847100516355884,61192,9901,11331
0.26,0.8621700879765396,0.8432083614853219,0.8525838091055482,0.8469336878843277,61152,9776,11371
0.27,0.8633807195545884,0.8424637701143086,0.8527940037267342,0.8465656851171375,61098,9668,11425
0.28,0.8649368685079428,0.8416088689105525,0.8531134251170592,0.8461732550691928,61036,9531,11487
0.29,0.866404296431007,0.8408504888104463,0.8534361507833765,0.8458399449616618,60981,9403,11542
0.3,0.8678576007521689,0.840023165064876,0.8537135650224216,0.845446294502469,60921,9276,11602
0.31,0.8692726415498693,0.8389476441956345,0.8538409722417132,0.8448421900384632,60843,9150,11680
0.32,0.8706655781377562,0.8382030528246212,0.8541259782776695,0.8445004459435806,60789,9030,11734
