bin_left,bin_right,count
0.0,0.02,0
0.02,0.04,0
0.04,0.06,0
0.06,0.08,0
0.08,0.1,0
0.1,0.12,803
0.12,0.14,634
0.14,0.16,551
0.16,0.18,534
0.18,0.2,481
0.2,0.22,447
0.22,0.24,455
0.24,0.26,420
0.26,0.28,470
0.28,0.3,434
0.3,0.32,463
0.32,0.34,489
0.34,0.36,479
0.36,0.38,512
0.38,0.4,544
0.4,0.42,618
0.42,0.44,723
0.44,0.46,746
0.46,0.48,789
0.48,0.5,911
0.5,0.52,1045
0.52,0.54,1188
0.54,0.56,1303
0.56,0.58,1543
0.58,0.6,1745
0.6,0.62,1990
0.62,0.64,2294
0.64,0.66,2534
0.66,0.68,2862
0.68,0.7,3272
0.7,0.72,3569
0.72,0.74,3748
0.74,0.76,4053
0.76,0.78,4048
0.78,0.8,3781
0.8,0.82,3618
0.82,0.84,3393
0.84,0.86,3356
0.86,0.88,3490
0.88,0.9,4497
0.9,0.92,4130
0.92,0.94,1055
0.94,0.96,7
0.96,0.98,0
0.98,1.0,0
