epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5477.33,1.14913,0.65271,1.03591,0.87361,0.80787,0.85375,0.58847,0.97775,0.60224,1.01242,0.0008647,0.0008647,0.0008647
43,5604.86,1.1448,0.65064,1.03563,0.87288,0.8047,0.85321,0.58614,0.98116,0.60586,1.01905,0.0008614,0.0008614,0.0008614
44,5732.3,1.14955,0.64871,1.03384,0.87568,0.80528,0.85509,0.59208,0.96605,0.59434,1.00971,0.0008581,0.0008581,0.0008581
45,5859.55,1.13749,0.64303,1.03292,0.87526,0.80855,0.85623,0.59209,0.96981,0.59467,1.01512,0.0008548,0.0008548,0.0008548
46,5987.29,1.1395,0.64564,1.03306,0.87638,0.807,0.85656,0.59297,0.96986,0.59314,1.01271,0.0008515,0.0008515,0.0008515
47,6114.47,1.13746,0.64476,1.03251,0.87294,0.80839,0.85546,0.59401,0.96869,0.59376,1.01097,0.0008482,0.0008482,0.0008482
48,6241.67,1.1316,0.64347,1.0308,0.87574,0.80598,0.85614,0.59427,0.96501,0.60034,1.00852,0.0008449,0.0008449,0.0008449
49,6372.21,1.13607,0.64251,1.03101,0.87632,0.80715,0.85598,0.59607,0.95912,0.59043,1.0093,0.0008416,0.0008416,0.0008416
50,6499.69,1.12635,0.63925,1.02894,0.87799,0.80966,0.85829,0.59774,0.96125,0.59171,1.00762,0.0008383,0.0008383,0.0008383
51,6627.19,1.13257,0.63712,1.03,0.88005,0.81003,0.85806,0.59877,0.95618,0.58779,1.01027,0.000835,0.000835,0.000835
52,6754.54,1.11853,0.63575,1.02724,0.87819,0.80793,0.85812,0.60051,0.95487,0.58812,1.00713,0.0008317,0.0008317,0.0008317
53,6882.21,1.11827,0.63519,1.02733,0.87773,0.81114,0.85804,0.59999,0.95264,0.58843,1.0107,0.0008284,0.0008284,0.0008284
54,7009.87,1.13137,0.63932,1.02936,0.87806,0.81246,0.85838,0.60091,0.9456,0.58374,1.00388,0.0008251,0.0008251,0.0008251
55,7137.71,1.13088,0.63342,1.02506,0.88107,0.81257,0.85873,0.60153,0.94745,0.58191,1.00631,0.0008218,0.0008218,0.0008218
56,7265.17,1.11691,0.6302,1.02484,0.87631,0.81315,0.8578,0.60139,0.94767,0.58446,1.00475,0.0008185,0.0008185,0.0008185
57,7392.63,1.10743,0.62454,1.02317,0.87834,0.81301,0.85912,0.60278,0.94611,0.5842,1.00607,0.0008152,0.0008152,0.0008152
58,7519.84,1.11457,0.62873,1.02365,0.87597,0.81133,0.85785,0.59987,0.94739,0.5869,1.00783,0.0008119,0.0008119,0.0008119
59,7647.1,1.1175,0.63318,1.02537,0.87975,0.81159,0.85855,0.60394,0.94287,0.58103,1.00533,0.0008086,0.0008086,0.0008086
60,7774.38,1.10659,0.62449,1.02232,0.87943,0.81135,0.85959,0.60319,0.94275,0.58195,1.00487,0.0008053,0.0008053,0.0008053
61,7901.68,1.10628,0.62468,1.02251,0.87917,0.81154,0.85875,0.60436,0.94125,0.58185,1.00498,0.000802,0.000802,0.000802
62,8029.33,1.10469,0.62184,1.02083,0.87875,0.81107,0.85892,0.60604,0.93971,0.58026,1.00262,0.0007987,0.0007987,0.0007987
63,8157.13,1.10864,0.62317,1.02094,0.87942,0.81122,0.85833,0.603,0.94276,0.58341,1.00593,0.0007954,0.0007954,0.0007954
64,8284.34,1.10663,0.62025,1.01912,0.87762,0.8123,0.8592,0.60379,0.93956,0.58165,1.00299,0.0007921,0.0007921,0.0007921
65,8411.26,1.09882,0.61587,1.0176,0.87584,0.81511,0.85887,0.60526,0.9335,0.57841,1.00122,0.0007888,0.0007888,0.0007888
66,8538.35,1.10131,0.61675,1.01904,0.88038,0.81367,0.86013,0.60777,0.93115,0.57423,1.00089,0.0007855,0.0007855,0.0007855
67,8665.84,1.10218,0.61456,1.01526,0.88067,0.81407,0.85995,0.60808,0.93173,0.57319,1.00068,0.0007822,0.0007822,0.0007822
