epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6997,4.53691,4.44278,4.28675,0,0,0,0,4.86813,4.43145,4.15784,0.00014,0.00014,0.00014
2,68.49,4.01597,3.87955,4.33805,0,0,0,0,4.86868,4.4394,4.1588,0.0001515,0.0001515,0.0001515
