epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,187.407,1.69183,1.57664,1.16266,0.70765,0.55987,0.59235,0.3291,1.40616,0.89464,1.0396,0.00199219,0.000664062,0.00199219,0.000664062,0.00199219,0.000664062,0.00199219,0.000664062
2,322.474,1.48744,0.92746,1.05185,0.77721,0.61792,0.66629,0.38258,1.32308,0.80207,1.00015,0.0038341,0.00127803,0.0038341,0.00127803,0.0038341,0.00127803,0.0038341,0.00127803
3,443.709,1.44129,0.86674,1.02498,0.78619,0.6481,0.69649,0.40309,1.29534,0.77121,0.98587,0.00551761,0.0018392,0.00551761,0.0018392,0.00551761,0.0018392,0.00551761,0.0018392
4,564.03,1.42356,0.84087,1.01318,0.79322,0.65746,0.7088,0.41615,1.2603,0.75506,0.97912,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
5,686.557,1.39222,0.81894,1.00375,0.81107,0.66856,0.72341,0.4282,1.23683,0.72318,0.96945,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
6,809.265,1.36283,0.79547,0.99638,0.80454,0.67972,0.73119,0.43718,1.22896,0.72891,0.96646,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
7,930.899,1.35536,0.78766,0.99204,0.80965,0.68703,0.73803,0.44511,1.19978,0.70934,0.96098,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
8,1051.29,1.3257,0.77509,0.98659,0.81987,0.68894,0.74226,0.44976,1.18966,0.70267,0.95818,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
9,1170.11,1.31556,0.76558,0.98444,0.82469,0.68969,0.74792,0.45726,1.17408,0.68445,0.95524,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
10,1288.2,1.30191,0.75107,0.97649,0.81548,0.70431,0.75199,0.45873,1.17865,0.68907,0.95224,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
11,1406.46,1.29826,0.74581,0.97557,0.81945,0.69877,0.75314,0.45838,1.17389,0.68907,0.95286,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
12,1524.42,1.27237,0.73625,0.97371,0.82311,0.69941,0.75561,0.46319,1.16588,0.67604,0.95329,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
13,1643.98,1.28577,0.73978,0.97167,0.82619,0.70696,0.76115,0.46987,1.14742,0.66516,0.94785,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
14,1762.5,1.25706,0.72493,0.96638,0.83212,0.70976,0.7625,0.47205,1.14087,0.6603,0.94626,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
15,1880.61,1.25396,0.71997,0.96495,0.81966,0.70849,0.75977,0.46785,1.14742,0.66977,0.95043,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
16,1997.3,1.19199,0.70582,0.97809,0.83381,0.70846,0.76568,0.47503,1.13605,0.66242,0.94316,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
17,2113.65,1.18506,0.69655,0.97463,0.83242,0.71756,0.76946,0.47819,1.1314,0.65757,0.94139,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
18,2230.68,1.16908,0.68825,0.96973,0.82839,0.71687,0.76795,0.4788,1.1288,0.65384,0.9451,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
19,2347.03,1.16246,0.6849,0.96813,0.83506,0.7164,0.76985,0.48221,1.12132,0.65245,0.93652,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
20,2463.29,1.1588,0.68132,0.96867,0.83851,0.71529,0.77003,0.48163,1.11387,0.64374,0.93835,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
21,2579.66,1.15157,0.67331,0.96694,0.83053,0.72117,0.77199,0.48573,1.11088,0.64289,0.93845,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
22,2696.33,1.14831,0.66809,0.96294,0.83851,0.72187,0.77431,0.49004,1.09757,0.63466,0.9336,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
23,2812.97,1.13547,0.66217,0.96125,0.83768,0.72154,0.77497,0.48856,1.10142,0.6353,0.93453,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
24,2928.91,1.13925,0.65928,0.95998,0.83768,0.72068,0.77469,0.48756,1.10529,0.6355,0.93534,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
25,3044.46,1.13278,0.65413,0.9581,0.8383,0.72311,0.77628,0.491,1.0976,0.63039,0.93374,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
