ts,cpu_pct,ram_used_GB,ram_pct
1783455692.0994015,0.0,50.22409439086914,39.3
1783455694.114877,38.6,50.142120361328125,39.2
1783455696.1246948,37.7,50.14504623413086,39.2
1783455698.131508,15.6,22.312759399414062,17.5
1783455700.13585,49.6,22.71142578125,17.8
1783455702.1664164,47.9,22.91885757446289,17.9
1783455704.1759982,68.4,26.50780487060547,20.7
1783455706.18511,56.8,28.171852111816406,22.0
1783455708.1889055,54.0,28.870365142822266,22.6
1783455710.1961627,22.1,28.94699478149414,22.7
1783455712.1985822,31.5,33.54922866821289,26.3
1783455714.2601774,39.8,35.34653854370117,27.7
1783455716.2740505,48.8,35.99838638305664,28.2
1783455718.2870777,39.6,36.23558044433594,28.4
1783455720.301167,32.5,40.843318939208984,32.0
1783455722.3058083,37.5,42.27217483520508,33.1
1783455724.3067765,15.5,42.584171295166016,33.3
1783455726.3148649,55.1,42.456817626953125,33.2
1783455728.3167813,38.5,49.19757080078125,38.5
1783455730.3261962,44.1,49.66408157348633,38.9
1783455732.3402233,27.7,50.044830322265625,39.2
1783455734.3467693,44.1,49.78244400024414,39.0
1783455736.358288,18.3,57.494728088378906,45.0
1783455738.363204,40.4,56.07087707519531,43.9
1783455740.3783994,56.5,58.68109130859375,45.9
1783455742.3813882,47.6,59.414241790771484,46.5
1783455744.3931165,32.8,59.488075256347656,46.6
1783455746.399678,42.1,61.56733322143555,48.2
1783455748.4064217,43.2,61.674346923828125,48.3
1783455750.4154456,18.3,64.7828598022461,50.7
1783455752.417035,45.2,64.71633529663086,50.7
1783455754.431203,44.3,65.37578201293945,51.2
1783455756.4401624,52.9,69.1059455871582,54.1
1783455758.4409628,28.5,67.65638732910156,53.0
1783455760.4416711,49.9,67.53135299682617,52.9
1783455762.4557786,16.3,69.74316024780273,54.6
1783455764.4673514,50.8,69.95564270019531,54.8
1783455766.4798992,40.0,70.06303405761719,54.8
1783455768.4881234,45.6,72.19081497192383,56.5
1783455770.4999814,51.4,72.19074630737305,56.5
1783455772.5046732,37.9,72.45108032226562,56.7
1783455774.5132775,49.1,72.73080825805664,56.9
1783455776.5147853,41.1,73.85826873779297,57.8
1783455778.5202935,40.5,75.89725494384766,59.4
1783455780.5286129,38.2,75.76615905761719,59.3
1783455782.5306394,49.4,76.04870223999023,59.5
1783455784.5381353,17.1,77.85136413574219,60.9
1783455786.5528233,45.8,78.23719787597656,61.2
1783455788.5531242,50.9,80.88391876220703,63.3
1783455790.5640616,41.6,81.53221130371094,63.8
1783455792.574899,32.9,81.03798294067383,63.4
1783455794.590589,53.7,81.32131958007812,63.6
1783455796.602172,29.1,80.89128875732422,63.3
1783455798.6114316,35.8,81.10501098632812,63.5
1783455800.6129057,50.0,81.05679702758789,63.4
1783455802.6318388,51.0,80.62162780761719,63.1
1783455804.6499038,47.7,80.21209335327148,62.8
1783455806.664018,46.8,80.5755729675293,63.1
1783455808.6709187,49.5,80.87234497070312,63.3
1783455810.679087,32.8,80.94154739379883,63.4
1783455812.6812742,49.9,80.35410690307617,62.9
1783455814.6904552,28.3,80.47050857543945,63.0
1783455816.7118227,35.0,80.37312698364258,62.9
1783455818.719058,47.4,80.51968765258789,63.0
1783455820.725822,48.0,80.58015823364258,63.1
1783455822.7337546,34.9,80.62097930908203,63.1
1783455824.7393827,46.4,80.60777282714844,63.1
1783455826.747115,35.2,80.5360221862793,63.0
1783455828.7588587,23.0,80.3006706237793,62.8
1783455830.769945,48.3,80.30013656616211,62.8
1783455832.782469,49.3,80.7636833190918,63.2
1783455834.786331,45.5,80.84598541259766,63.3
1783455836.7959926,33.0,80.70819091796875,63.2
1783455838.8003366,49.8,80.5761833190918,63.1
1783455840.8064055,14.7,80.52020645141602,63.0
1783455842.8206067,47.5,80.12454605102539,62.7
1783455844.8217442,49.5,80.12226104736328,62.7
1783455846.8367867,49.2,80.06178283691406,62.7
1783455848.8482735,46.7,80.11235427856445,62.7
1783455850.8504977,47.3,81.32585906982422,63.7
1783455852.8565948,48.9,81.3549575805664,63.7
1783455854.8578565,31.7,80.76091766357422,63.2
1783455856.8615155,49.4,80.39625930786133,62.9
1783455858.8681486,27.0,80.3653793334961,62.9
1783455860.8792996,31.4,80.35052871704102,62.9
1783455862.8903236,53.1,80.38511276245117,62.9
1783455864.8945384,45.2,80.82379150390625,63.3
1783455866.8998773,34.7,80.7490348815918,63.2
1783455868.9107413,46.1,80.67587661743164,63.1
1783455870.92315,34.7,80.62561798095703,63.1
1783455872.9264643,24.5,80.06653594970703,62.7
1783455874.9393861,49.5,80.41947937011719,62.9
1783455876.9449847,48.9,80.90351104736328,63.3
1783455878.9587111,45.3,80.86865997314453,63.3
1783455880.973728,35.4,80.82532119750977,63.3
1783455882.9823773,47.6,80.5499382019043,63.0
1783455884.9921262,13.8,80.46258926391602,63.0
1783455887.0041735,43.7,80.1325454711914,62.7
1783455889.004433,47.5,80.36214447021484,62.9
1783455891.018554,50.2,80.75473022460938,63.2
1783455893.0277853,29.6,80.78757095336914,63.2
1783455895.0378897,48.9,80.51569747924805,63.0
1783455897.0461252,25.7,80.48954010009766,63.0
1783455899.0612795,28.9,80.3901138305664,62.9
1783455901.0758634,45.6,80.46574401855469,63.0
1783455903.0874345,47.1,80.90893173217773,63.3
1783455905.0921564,39.4,80.92065048217773,63.3
1783455907.1060233,38.0,80.66204452514648,63.1
1783455909.1187322,42.3,80.70541381835938,63.2
1783455911.1308184,17.8,80.61798477172852,63.1
1783455913.1423411,47.4,80.57864379882812,63.1
1783455915.150553,48.2,80.55959701538086,63.1
1783455917.1638553,47.7,80.70016479492188,63.2
1783455919.1697116,30.6,80.6530990600586,63.1
1783455921.1711688,44.2,80.52435302734375,63.0
1783455923.1842647,14.3,80.4458999633789,63.0
1783455925.195577,48.3,80.62602233886719,63.1
1783455927.195843,47.6,81.37224578857422,63.7
1783455929.2057595,48.2,81.84881591796875,64.1
1783455931.2157292,30.1,81.83395004272461,64.0
1783455933.2278137,49.4,81.54877853393555,63.8
1783455935.2426445,13.8,81.61029815673828,63.9
1783455937.2572024,36.2,81.28017044067383,63.6
1783455939.2584827,44.5,82.0067024230957,64.2
1783455941.280202,47.3,82.49392700195312,64.6
1783455943.2846105,35.2,82.26916122436523,64.4
1783455945.294225,40.0,81.87620162963867,64.1
1783455947.3059306,43.2,81.59896087646484,63.9
1783455949.3157067,16.9,81.51209259033203,63.8
1783455951.3163157,46.5,81.6292610168457,63.9
1783455953.3269732,48.1,82.19933319091797,64.3
1783455955.335216,45.1,82.1740951538086,64.3
1783455957.3503947,35.8,81.82317352294922,64.0
1783455959.3625917,46.0,81.51670455932617,63.8
1783455961.3755164,16.0,81.42505645751953,63.7
1783455963.376987,46.6,81.6827278137207,63.9
1783455965.3806138,47.6,82.0045166015625,64.2
1783455967.3934755,49.1,82.30493927001953,64.4
1783455969.4050524,28.0,81.72760009765625,64.0
1783455971.4177797,49.3,81.47677612304688,63.8
1783455973.4272084,22.7,81.5261459350586,63.8
1783455975.442409,32.4,81.44233703613281,63.7
1783455977.4503005,46.6,81.50721740722656,63.8
1783455979.4639893,47.2,81.95599365234375,64.1
1783455981.4702675,36.5,81.9781379699707,64.2
1783455983.4868815,43.8,81.69349670410156,63.9
1783455985.502465,39.9,81.55130004882812,63.8
1783455987.5135527,14.3,81.42864990234375,63.7
1783455989.5225747,44.4,81.73997497558594,64.0
1783455991.5401578,46.4,81.9321060180664,64.1
1783455993.5472598,48.6,81.90500259399414,64.1
1783455995.5615976,32.7,81.91836547851562,64.1
1783455997.5685604,50.2,81.44617462158203,63.7
1783455999.573916,24.7,81.3538818359375,63.7
1783456001.5808773,37.3,81.38953399658203,63.7
1783456003.5818758,48.0,81.48346328735352,63.8
1783456005.6141005,49.6,81.85438537597656,64.1
1783456007.6292808,33.4,81.27821350097656,63.6
1783456009.6401124,50.8,81.03543090820312,63.4
1783456011.649325,24.8,81.01469802856445,63.4
1783456013.6538415,36.3,80.92097854614258,63.3
1783456015.6618252,50.2,80.9338493347168,63.3
1783456017.673046,49.1,80.96846008300781,63.4
1783456019.6848445,47.7,81.00236511230469,63.4
1783456021.68568,48.2,81.15932083129883,63.5
