layer_idx,name,type,params,trainable
340,model.29.cv3.2.0.0.conv,Conv2d,5120,False
342,model.29.cv3.2.0.1.conv,Conv2d,65664,False
345,model.29.cv3.2.1.0.conv,Conv2d,1280,False
347,model.29.cv3.2.1.1.conv,Conv2d,16512,False
348,model.29.cv3.2.2,Conv2d,129,False
352,model.29.cv3.3.0.0.conv,Conv2d,5120,False
354,model.29.cv3.3.0.1.conv,Conv2d,65664,False
357,model.29.cv3.3.1.0.conv,Conv2d,1280,False
359,model.29.cv3.3.1.1.conv,Conv2d,16512,False
360,model.29.cv3.3.2,Conv2d,129,False
362,model.29.dfl.conv,Conv2d,16,False
