channel_idx,mean_attention
0,0.99999374
1,0.06613637
2,0.0009209991
3,0.9999884
4,0.29163975
5,0.6876119
6,0.18015611
7,0.7953446
8,0.0053603626
9,0.9942846
10,0.999842
11,8.289566e-05
12,0.4822944
13,0.9363906
14,0.9998481
15,0.026940102
16,0.9891353
17,0.009326356
18,0.7731697
19,0.97982496
20,0.9910934
21,0.99996763
22,0.87931377
23,0.16338454
24,2.025519e-05
25,0.9998734
26,0.9995065
27,0.62865347
28,0.23129027
29,0.44268298
30,0.99999124
31,0.0028526168
32,0.99988174
33,0.46223274
34,0.0117735565
35,0.05211493
36,0.9999997
37,0.0012720757
38,1.0
39,0.99999905
40,0.9994585
41,0.9999995
42,0.9998631
43,0.9999156
44,0.99999815
45,0.99736863
46,0.016258778
47,1.0
48,0.99999803
49,0.015809216
50,0.6945982
51,0.9995944
52,0.0010940107
53,0.99994785
54,0.9999786
55,0.99982524
56,0.9684389
57,0.68664616
58,9.0923975e-05
59,0.030254675
60,0.10127181
61,0.6529401
62,0.46789518
63,0.99820524
64,0.09627974
65,0.28195482
66,0.9915263
67,0.9999864
68,0.736656
69,0.9998913
70,0.0005941993
71,0.012856147
72,0.061288297
73,0.65258956
74,0.0022373127
75,0.9890363
76,0.9999597
77,0.9163492
78,0.99996024
79,0.71897906
80,0.001374171
81,0.022698587
82,0.9996721
83,0.5352923
84,0.022151371
85,0.0026217832
86,0.20821738
87,0.08871748
88,0.0005288523
89,0.06535037
90,0.14778076
91,0.0034875532
92,0.0041873367
93,0.9999698
94,0.017825356
95,0.007679121
96,0.025522871
97,0.0001810654
98,0.99983996
99,0.924721
100,0.06728637
101,0.9315867
102,0.023570595
103,0.03582986
104,0.99998254
105,0.6567176
106,0.43130317
107,0.034404766
108,0.97416645
109,0.9989223
110,0.9995594
111,0.91526
112,0.00904065
113,0.0009321003
114,0.057916105
115,0.25992817
116,0.94960696
117,0.9999984
118,0.0012407178
119,0.99911195
120,0.030672742
121,0.015131921
122,0.991479
123,0.009840542
124,0.0014368606
125,0.1042259
126,0.9561343
127,0.9999719
128,0.026277276
129,0.99723727
130,0.99519616
131,0.87618065
132,0.9999998
133,0.0006729236
134,0.9998076
135,0.030985102
136,0.003945203
137,0.9978862
138,0.9921519
139,0.9998951
140,0.09320497
141,0.99769497
142,0.9995818
143,0.07831872
144,0.023267208
145,0.6947873
146,0.9996631
147,0.99825716
148,0.9998503
149,0.30300543
150,0.06118984
151,0.004686385
152,0.011239692
153,0.0081062475
154,0.28195542
155,0.99999756
156,1.0
157,0.05158627
158,0.0010340314
159,0.9035938
160,0.99985296
161,0.99982196
162,0.9943426
163,0.9985242
164,0.002562121
165,0.99778336
166,0.99995965
167,0.9959714
168,0.23956095
169,0.96634644
170,0.21797074
171,0.9991905
172,0.0014368038
173,0.68754035
174,0.9845143
175,0.003675255
176,0.0032184112
177,0.15276134
178,0.9768104
179,0.9999716
180,0.2668055
181,0.5800305
182,0.99968976
183,0.23674436
184,0.9999985
185,0.9999059
186,0.011733587
187,0.32245874
188,0.0147523135
189,0.47869322
190,0.23418714
191,0.00025894097
192,0.9987795
193,0.9982569
194,0.030327057
195,0.99182564
196,0.97313136
197,0.00083537167
198,0.9999997
199,0.62020516
200,0.013674443
201,0.03850371
202,0.017125653
203,0.08533511
204,0.00046039303
205,0.99999666
206,0.89188457
207,0.00010641702
208,0.99997956
209,0.0025322286
210,0.9999998
211,0.51715344
212,0.031160722
213,0.9912012
214,7.795577e-06
215,0.013533709
216,0.0006346029
217,0.99999684
218,0.0015830722
219,0.3773341
220,0.99967355
221,0.95496005
222,0.022262113
223,0.0011348728
224,0.204462
225,7.630642e-05
226,0.0065872003
227,0.71292037
228,0.99999696
229,0.64532894
230,1.0
231,0.9997583
232,4.6648474e-05
233,3.4118939e-06
234,0.0021940682
235,0.999455
236,0.02697674
237,0.9835692
238,0.99505514
239,0.9999912
240,0.6286207
241,0.2743661
242,0.9983726
243,0.9968123
244,0.9999304
245,0.008140486
246,0.4143223
247,0.2465012
248,0.073551044
249,0.9992984
250,0.045228947
251,0.14116168
252,0.64037293
253,0.94885856
254,0.9999625
255,0.9999148
256,0.48499432
257,0.9999941
258,0.9999652
259,0.9999998
260,0.9886356
261,0.005968446
262,0.98778635
263,0.87538975
264,0.003193751
265,0.9997246
266,0.5895327
267,0.0004852272
268,0.00014972793
269,0.00032558924
270,0.9999903
271,0.99116296
272,0.99999946
273,0.47914818
274,0.000106901476
275,0.9999907
276,0.07239269
277,0.99999994
278,0.01884383
279,0.42677626
280,0.10030275
281,0.595844
282,0.99999505
283,0.025893286
284,0.0003865567
285,0.011574899
286,0.884195
287,0.9999983
288,0.0014608195
289,3.082684e-05
290,0.09653393
291,0.99986726
292,0.0017410009
293,0.9182432
294,0.9988592
295,0.00018215172
296,0.46649277
297,0.01649588
298,0.0022088385
299,0.94312984
300,0.02711627
301,0.051454563
302,0.006115962
303,0.10339143
304,0.005065894
305,0.0046019056
306,9.4759096e-05
307,1.0
308,1.8012375e-05
309,0.9935816
310,0.016469162
311,0.9986689
312,0.99999857
313,0.11219583
314,0.9999037
315,0.08389952
316,0.00070171134
317,0.9999869
318,0.9999973
319,0.013465603
320,0.9993252
321,0.03807348
322,0.015616067
323,0.999994
324,0.9222216
325,0.93612474
326,1.923794e-05
327,0.0013585455
328,0.04916952
329,0.99997216
330,0.004900824
331,0.0015849248
332,7.409197e-05
333,0.049100164
334,5.0100873e-05
335,0.0005830252
336,0.9999991
337,0.99996233
338,0.9998755
339,0.011143032
340,0.9999997
341,0.88147116
342,9.359104e-06
343,0.076657996
344,0.39875677
345,0.99998635
346,0.99994856
347,2.3268526e-06
348,2.0904374e-05
349,0.084729455
350,0.11099878
351,0.002867368
352,0.1982826
353,0.037652425
354,0.9994561
355,0.99999994
356,0.9996956
357,0.007166811
358,0.008351213
359,0.99490577
360,0.9999995
361,1.0
362,0.000114979885
363,0.99954253
364,0.99428684
365,0.5168692
366,0.99996024
367,0.0013294844
368,0.8033858
369,0.9998097
370,0.01991584
371,0.9961734
372,0.012120799
373,0.024113076
374,0.9999983
375,0.9999538
376,0.40573823
377,0.059681606
378,5.2415893e-05
379,0.89114565
380,0.006227434
381,0.40770936
382,0.99999976
383,0.0005767681
384,0.022502402
385,0.99837404
386,0.99722403
387,0.9992966
388,0.98097986
389,0.5273734
390,0.99863935
391,0.001378553
392,0.009582416
393,0.9829106
394,0.00019037444
