epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5358.73,1.0541,0.68524,1.05584,0.87273,0.80634,0.85418,0.59677,0.90144,0.60533,1.0406,0.0008647,0.0008647,0.0008647
43,5485.2,1.043,0.67519,1.05451,0.86798,0.80442,0.85197,0.5932,0.90425,0.60916,1.04638,0.0008614,0.0008614,0.0008614
44,5611.93,1.04894,0.67876,1.05599,0.87203,0.80441,0.85308,0.59788,0.89514,0.60562,1.03779,0.0008581,0.0008581,0.0008581
45,5738.56,1.05098,0.67713,1.05387,0.87082,0.8074,0.85266,0.59443,0.90685,0.60934,1.04347,0.0008548,0.0008548,0.0008548
46,5865.29,1.0531,0.67731,1.05307,0.87008,0.80778,0.85536,0.59587,0.90135,0.6024,1.04408,0.0008515,0.0008515,0.0008515
47,5991.95,1.03879,0.66833,1.05138,0.87286,0.80764,0.85527,0.59882,0.89562,0.59669,1.03995,0.0008482,0.0008482,0.0008482
48,6118.47,1.04358,0.67134,1.05306,0.87017,0.80615,0.85373,0.59863,0.89826,0.60138,1.04081,0.0008449,0.0008449,0.0008449
49,6245.61,1.04301,0.66627,1.05405,0.87321,0.80754,0.85501,0.60272,0.88332,0.59894,1.03194,0.0008416,0.0008416,0.0008416
50,6372.25,1.03797,0.67043,1.05147,0.87258,0.8062,0.85354,0.59979,0.89317,0.5986,1.03826,0.0008383,0.0008383,0.0008383
51,6498.52,1.045,0.67131,1.05039,0.87056,0.80697,0.85508,0.59901,0.89448,0.60151,1.03992,0.000835,0.000835,0.000835
52,6625.24,1.03651,0.66685,1.04825,0.87351,0.80627,0.85534,0.6011,0.88856,0.59785,1.03597,0.0008317,0.0008317,0.0008317
53,6752.06,1.03507,0.66237,1.05063,0.87552,0.80959,0.85721,0.60393,0.88754,0.59078,1.03577,0.0008284,0.0008284,0.0008284
54,6878.84,1.03875,0.66729,1.04956,0.87662,0.80635,0.85455,0.60351,0.88598,0.59383,1.03233,0.0008251,0.0008251,0.0008251
55,7005.48,1.02523,0.65726,1.04374,0.87263,0.80797,0.85458,0.60097,0.88704,0.5992,1.03475,0.0008218,0.0008218,0.0008218
56,7132.08,1.03063,0.6584,1.04472,0.87673,0.81044,0.85738,0.60696,0.87853,0.58754,1.02807,0.0008185,0.0008185,0.0008185
57,7258.43,1.03015,0.66143,1.04565,0.87401,0.8085,0.85542,0.60317,0.88201,0.59641,1.0323,0.0008152,0.0008152,0.0008152
58,7384.58,1.02597,0.65702,1.04246,0.87228,0.80784,0.85534,0.60473,0.88099,0.59325,1.03125,0.0008119,0.0008119,0.0008119
59,7510.95,1.0282,0.65837,1.043,0.8755,0.80949,0.85754,0.6067,0.87911,0.58919,1.03039,0.0008086,0.0008086,0.0008086
60,7637.07,1.02248,0.65617,1.04437,0.87497,0.81224,0.85841,0.60949,0.87491,0.58509,1.03016,0.0008053,0.0008053,0.0008053
61,7763.58,1.0226,0.65567,1.04268,0.87718,0.80866,0.85701,0.60732,0.87707,0.58822,1.02939,0.000802,0.000802,0.000802
62,7890.07,1.02739,0.65692,1.04554,0.87933,0.81042,0.85814,0.60991,0.87257,0.58586,1.02794,0.0007987,0.0007987,0.0007987
63,8017.3,1.0159,0.65033,1.04242,0.87823,0.80846,0.85766,0.61028,0.87092,0.58451,1.02726,0.0007954,0.0007954,0.0007954
64,8144.39,1.02352,0.65032,1.04047,0.87571,0.81129,0.85777,0.60984,0.8716,0.58537,1.02695,0.0007921,0.0007921,0.0007921
65,8271.07,1.02007,0.65381,1.04005,0.87745,0.80818,0.85746,0.60853,0.87267,0.58805,1.03089,0.0007888,0.0007888,0.0007888
66,8397.93,1.01491,0.64446,1.04009,0.87866,0.80979,0.85857,0.61231,0.86732,0.58033,1.02693,0.0007855,0.0007855,0.0007855
